level,taxon,family,division,fit_level,fit_taxon,n,ln_a,b,sigma,r2,dbh_min_cm,dbh_max_cm,scale
genus,Canarium,Burseraceae,Angiosperm,genus,Canarium,591,-1.55976,0.67007,0.453476,0.526504,1.3,83.2,0.232949
genus,Canthium,Rubiaceae,Angiosperm,genus,Canthium,65,-1.3416,0.658124,0.34186,0.636438,3,29.5,0.277158
genus,Capirona,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Capparis,Capparaceae,Angiosperm,family,Capparaceae,456,-0.69434,0.432976,0.407584,0.381963,1,33.3,0.542657
genus,Caraipa,Calophyllaceae,Angiosperm,family,Calophyllaceae,278,-0.907257,0.665366,0.351527,0.820939,1.1,163,0.429355
genus,Carallia,Rhizophoraceae,Angiosperm,genus,Carallia,34,-1.23988,0.684974,0.451754,0.619656,2,49.2,0.320511
genus,Carapa,Meliaceae,Angiosperm,genus,Carapa,90,-1.24656,0.692249,0.482816,0.439679,5.8,76.5,0.32303
genus,Cardwellia,Proteaceae,Angiosperm,family,Proteaceae,510,-1.50893,0.80052,0.381045,0.713551,1.8,88,0.237798
genus,Careya,Lecythidaceae,Angiosperm,family,Lecythidaceae,1114,-0.900694,0.596827,0.391663,0.562421,1.1,186.2,0.438676
genus,Carica,Caricaceae,Angiosperm,family,Caricaceae,65,-1.18603,0.54408,0.374093,0.643166,2.4,81.8,0.32757
genus,Carnarvonia,Proteaceae,Angiosperm,family,Proteaceae,510,-1.50893,0.80052,0.381045,0.713551,1.8,88,0.237798
genus,Carpinus,Betulaceae,Angiosperm,genus,Carpinus,2969,-0.922916,0.664442,0.456786,0.507338,1,145,0.441053
genus,Carpodetus,Rousseaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Carya,Juglandaceae,Angiosperm,genus,Carya,194,-0.596758,0.586412,0.263422,0.590393,1.6,72.6,0.570032
genus,Caryocar,Caryocaraceae,Angiosperm,genus,Caryocar,42,-0.729845,0.585652,0.446994,0.494462,9.8,164,0.532622
genus,Caryodaphnopsis,Lauraceae,Angiosperm,family,Lauraceae,6466,-0.827153,0.494061,0.501244,0.495364,1,195,0.495826
genus,Caryota,Arecaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cascabela,Apocynaceae,Angiosperm,family,Apocynaceae,1361,-1.21636,0.659122,0.458037,0.640796,1,186.2,0.329077
genus,Casearia,Salicaceae,Angiosperm,genus,Casearia,323,-0.978189,0.575161,0.473729,0.486772,1,100,0.420639
genus,Casimiroa,Rutaceae,Angiosperm,family,Rutaceae,1836,-1.18574,0.604387,0.436409,0.516094,1,120,0.336044
genus,Cassia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Cassine,Celastraceae,Angiosperm,family,Celastraceae,435,-1.13263,0.66231,0.556926,0.494744,1,101.6,0.376232
genus,Cassipourea,Rhizophoraceae,Angiosperm,family,Rhizophoraceae,292,-1.00786,0.68497,0.339852,0.808051,1,113.4,0.386698
genus,Castanea,Fagaceae,Angiosperm,genus,Castanea,1700,-0.955283,0.596132,0.325129,0.613322,1.1,222.9,0.405584
genus,Castanopsis,Fagaceae,Angiosperm,genus,Castanopsis,1102,-1.3871,0.683519,0.398999,0.636127,1.3,68.1,0.270494
genus,Castanospermum,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Castanospora,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Castela,Simaroubaceae,Angiosperm,family,Simaroubaceae,164,-1.05908,0.616087,0.466485,0.707822,1,78.9,0.386634
genus,Castilla,Moraceae,Angiosperm,family,Moraceae,2663,-1.1809,0.654914,0.498565,0.646044,1,217.7,0.34763
genus,Casuarina,Casuarinaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Catalepidia,Proteaceae,Angiosperm,family,Proteaceae,510,-1.50893,0.80052,0.381045,0.713551,1.8,88,0.237798
genus,Catunaregam,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Cavanillesia,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Ceanothus,Rhamnaceae,Angiosperm,family,Rhamnaceae,689,-0.56848,0.52228,0.455881,0.462699,1,55.4,0.628407
genus,Cecropia,Urticaceae,Angiosperm,genus,Cecropia,247,-1.68605,0.840077,0.535237,0.647684,1,65,0.213779
genus,Cedrela,Meliaceae,Angiosperm,family,Meliaceae,2186,-0.866573,0.57892,0.474811,0.632607,1,280.3,0.470551
genus,Cedrelinga,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Cedrelopsis,Rutaceae,Angiosperm,family,Rutaceae,1836,-1.18574,0.604387,0.436409,0.516094,1,120,0.336044
genus,Cedrus,Pinaceae,Gymnosperm,family,Pinaceae,76326,-1.54844,0.715395,0.302654,0.653003,1,152.9,0.222542
genus,Ceiba,Malvaceae,Angiosperm,genus,Ceiba,78,-2.22833,0.923943,0.603971,0.762066,2.9,230,0.129259
genus,Celosia,Amaranthaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Celtis,Cannabaceae,Angiosperm,genus,Celtis,689,-1.46468,0.788285,0.471441,0.700471,1.1,101,0.258322
genus,Centroplacus,Centroplacaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cephalanthus,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Cephalotaxus,Taxaceae,Gymnosperm,division,Gymnosperm,77655,-1.52419,0.708135,0.304932,0.651332,1,770,0.228162
genus,Cerasus,Rosaceae,Angiosperm,family,Rosaceae,1561,-0.948281,0.553616,0.50296,0.451948,1,100,0.439641
genus,Ceratopetalum,Cunoniaceae,Angiosperm,family,Cunoniaceae,98,-1.12508,0.728754,0.454835,0.574266,2.5,80.5,0.360003
genus,Cerbera,Apocynaceae,Angiosperm,family,Apocynaceae,1361,-1.21636,0.659122,0.458037,0.640796,1,186.2,0.329077
genus,Cercis,Fabaceae,Angiosperm,genus,Cercis,49,-0.751622,0.646219,0.409668,0.700743,1.1,32.6,0.512883
genus,Cercocarpus,Rosaceae,Angiosperm,family,Rosaceae,1561,-0.948281,0.553616,0.50296,0.451948,1,100,0.439641
genus,Chaenomeles,Rosaceae,Angiosperm,family,Rosaceae,1561,-0.948281,0.553616,0.50296,0.451948,1,100,0.439641
genus,Chaetocarpus,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Chamaecrista,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Chamaecyparis,Cupressaceae,Gymnosperm,genus,Chamaecyparis,76,-0.70286,0.372226,0.265354,0.398703,3.9,48.9,0.512911
genus,Champereia,Opiliaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Chassalia,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Cheiloclinium,Celastraceae,Angiosperm,family,Celastraceae,435,-1.13263,0.66231,0.556926,0.494744,1,101.6,0.376232
genus,Cheirodendron,Araliaceae,Angiosperm,family,Araliaceae,1392,-1.63073,0.730318,0.499306,0.591335,1,138.1,0.221779
genus,Chengiopanax,Araliaceae,Angiosperm,genus,Chengiopanax,36,-0.880606,0.610758,0.299987,0.781112,1.8,38.4,0.43361
genus,Chieniodendron,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Chimarrhis,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Chiococca,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Chionanthus,Oleaceae,Angiosperm,family,Oleaceae,3572,-0.928935,0.545344,0.439232,0.492978,1,88.8,0.434973
genus,Chisocheton,Meliaceae,Angiosperm,genus,Chisocheton,42,-0.639014,0.428366,0.373169,0.434004,2.2,53.1,0.565873
genus,Chloroleucon,Fabaceae,Angiosperm,genus,Chloroleucon,60,-1.1418,0.638435,0.668107,0.256215,3.4,38.4,0.39907
genus,Chloroxylon,Rutaceae,Angiosperm,family,Rutaceae,1836,-1.18574,0.604387,0.436409,0.516094,1,120,0.336044
genus,Choerospondias,Anacardiaceae,Angiosperm,genus,Choerospondias,31,-1.43342,0.669285,0.588521,0.460782,3.3,170,0.283586
genus,Choriceras,Picrodendraceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Choristylis,Iteaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Chrysophyllum,Sapotaceae,Angiosperm,genus,Chrysophyllum,110,-0.830314,0.626325,0.439529,0.789386,1,94.7,0.480119
genus,Chukrasia,Meliaceae,Angiosperm,family,Meliaceae,2186,-0.866573,0.57892,0.474811,0.632607,1,280.3,0.470551
genus,Chunia,Hamamelidaceae,Angiosperm,family,Hamamelidaceae,264,-0.14195,0.387314,0.461524,0.330204,1,44,0.965173
genus,Chytranthus,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Cinchona,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Cinnamomum,Lauraceae,Angiosperm,genus,Cinnamomum,474,-1.15064,0.554906,0.388967,0.488345,1.1,94.6,0.341301
genus,Cipadessa,Meliaceae,Angiosperm,family,Meliaceae,2186,-0.866573,0.57892,0.474811,0.632607,1,280.3,0.470551
genus,Cissus,Vitaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Citharexylum,Verbenaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Citronella,Cardiopteridaceae,Angiosperm,family,Cardiopteridaceae,218,-0.945386,0.508211,0.374005,0.3664,1.3,38,0.416676
genus,Citrus,Rutaceae,Angiosperm,family,Rutaceae,1836,-1.18574,0.604387,0.436409,0.516094,1,120,0.336044
genus,Cladrastis,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Claoxylon,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Clarisia,Moraceae,Angiosperm,genus,Clarisia,35,-1.07359,0.682947,0.44974,0.703152,1,64.9,0.378151
genus,Clausena,Rutaceae,Angiosperm,genus,Clausena,92,-1.83815,0.920261,0.415368,0.704463,3,51.9,0.173447
genus,Cleidion,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Cleistanthus,Phyllanthaceae,Angiosperm,genus,Cleistanthus,396,-1.41836,0.833149,0.393407,0.75464,1.1,80,0.261589
genus,Cleistopholis,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Clermontia,Campanulaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Clerodendrum,Lamiaceae,Angiosperm,family,Lamiaceae,683,-1.20981,0.61105,0.537772,0.453723,1,77.5,0.344655
genus,Clethra,Clethraceae,Angiosperm,genus,Clethra,32,-0.806516,0.631036,0.290765,0.896232,1.2,59.4,0.465686
genus,Cleyera,Pentaphylacaceae,Angiosperm,genus,Cleyera,89,-0.694196,0.471061,0.431275,0.41732,1.2,36.3,0.548155
genus,Clitoria,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Clusia,Clusiaceae,Angiosperm,genus,Clusia,37,0.509264,0.344191,0.266367,0.23983,8.3,65,1.72416
genus,Cnesmocarpon,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Cnidoscolus,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Coccoloba,Polygonaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cocculus,Menispermaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cochlospermum,Bixaceae,Angiosperm,genus,Cochlospermum,140,-1.71479,0.563413,0.62861,0.213308,1.6,40.5,0.219321
genus,Cocos,Arecaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Codonocarpus,Gyrostemonaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Coelocaryon,Myristicaceae,Angiosperm,genus,Coelocaryon,37,-1.23056,0.658966,0.410922,0.400404,10.6,95,0.317865
